Date,Route,Attempted,Succeeded
11/27/2015,Disappointment Cleaver,2,0
11/21/2015,Disappointment Cleaver,3,0
10/15/2015,Disappointment Cleaver,2,0
10/13/2015,Little Tahoma,8,0
10/9/2015,Disappointment Cleaver,2,0
10/3/2015,Disappointment Cleaver,10,0
10/3/2015,Disappointment Cleaver,2,0
10/2/2015,Kautz Glacier,2,0
10/2/2015,Disappointment Cleaver,2,0
9/30/2015,Disappointment Cleaver,2,0
9/28/2015,Disappointment Cleaver,12,4
9/27/2015,Disappointment Cleaver,12,6
9/26/2015,Disappointment Cleaver,2,0
9/26/2015,Disappointment Cleaver,12,3
9/26/2015,Disappointment Cleaver,3,0
9/25/2015,Disappointment Cleaver,12,9
9/25/2015,Disappointment Cleaver,11,6
9/24/2015,Disappointment Cleaver,10,0
9/24/2015,Disappointment Cleaver,11,1
9/23/2015,Disappointment Cleaver,12,0
9/22/2015,Disappointment Cleaver,3,0
9/21/2015,Disappointment Cleaver,2,0
9/21/2015,Disappointment Cleaver,2,0
9/21/2015,Disappointment Cleaver,11,0
9/21/2015,Disappointment Cleaver,8,0
9/21/2015,Disappointment Cleaver,10,9
9/20/2015,Disappointment Cleaver,3,0
9/20/2015,Disappointment Cleaver,12,7
9/20/2015,Disappointment Cleaver,12,0
9/20/2015,Disappointment Cleaver,11,0
9/19/2015,Disappointment Cleaver,12,0
9/19/2015,Disappointment Cleaver,2,0
9/19/2015,Disappointment Cleaver,12,0
9/19/2015,Disappointment Cleaver,11,0
9/18/2015,Disappointment Cleaver,12,0
9/18/2015,Disappointment Cleaver,11,0
9/18/2015,Disappointment Cleaver,12,0
9/18/2015,Disappointment Cleaver,2,0
9/18/2015,Disappointment Cleaver,2,0
9/17/2015,Disappointment Cleaver,12,0
9/16/2015,Disappointment Cleaver,12,0
9/15/2015,Disappointment Cleaver,9,0
9/14/2015,Disappointment Cleaver,8,7
9/14/2015,Disappointment Cleaver,12,12
9/14/2015,Disappointment Cleaver,2,2
9/14/2015,Disappointment Cleaver,3,3
9/14/2015,Disappointment Cleaver,2,2
9/13/2015,Disappointment Cleaver,2,0
9/13/2015,Disappointment Cleaver,12,0
9/13/2015,Disappointment Cleaver,12,0
9/13/2015,Disappointment Cleaver,11,0
9/12/2015,Disappointment Cleaver,2,0
9/12/2015,Disappointment Cleaver,11,0
9/12/2015,Disappointment Cleaver,11,0
9/12/2015,Disappointment Cleaver,2,0
9/12/2015,Disappointment Cleaver,2,0
9/12/2015,Disappointment Cleaver,2,2
9/12/2015,Disappointment Cleaver,1,0
9/12/2015,Disappointment Cleaver,12,11
9/11/2015,Disappointment Cleaver,3,0
9/11/2015,Disappointment Cleaver,12,4
9/11/2015,Disappointment Cleaver,12,4
9/11/2015,Disappointment Cleaver,12,0
9/11/2015,Disappointment Cleaver,1,0
9/11/2015,Disappointment Cleaver,4,0
9/11/2015,Disappointment Cleaver,6,0
9/11/2015,Disappointment Cleaver,2,2
9/11/2015,Disappointment Cleaver,2,0
9/10/2015,Disappointment Cleaver,12,0
9/10/2015,Disappointment Cleaver,2,2
9/9/2015,Disappointment Cleaver,2,2
9/9/2015,Disappointment Cleaver,2,0
9/9/2015,Disappointment Cleaver,12,10
9/8/2015,Disappointment Cleaver,2,0
9/7/2015,Disappointment Cleaver,2,0
9/7/2015,Disappointment Cleaver,3,0
9/7/2015,Disappointment Cleaver,12,5
9/7/2015,Disappointment Cleaver,8,4
9/7/2015,Disappointment Cleaver,11,0
9/7/2015,Disappointment Cleaver,11,9
9/6/2015,Disappointment Cleaver,12,0
9/6/2015,Disappointment Cleaver,11,0
9/6/2015,Disappointment Cleaver,12,0
9/5/2015,Disappointment Cleaver,3,0
9/5/2015,Emmons-Winthrop,5,0
9/5/2015,Disappointment Cleaver,2,0
9/5/2015,Disappointment Cleaver,3,0
9/5/2015,Disappointment Cleaver,12,0
9/5/2015,Disappointment Cleaver,2,0
9/5/2015,Disappointment Cleaver,4,0
9/5/2015,Disappointment Cleaver,12,0
9/5/2015,Disappointment Cleaver,11,0
9/5/2015,Disappointment Cleaver,2,0
9/4/2015,Disappointment Cleaver,3,0
9/4/2015,Disappointment Cleaver,12,0
9/4/2015,Disappointment Cleaver,12,0
9/4/2015,Disappointment Cleaver,12,0
9/4/2015,Disappointment Cleaver,2,0
9/4/2015,Disappointment Cleaver,2,0
9/3/2015,Disappointment Cleaver,2,0
9/3/2015,Disappointment Cleaver,3,0
9/3/2015,Disappointment Cleaver,11,0
9/3/2015,Disappointment Cleaver,11,0
9/3/2015,Disappointment Cleaver,12,0
9/2/2015,Disappointment Cleaver,8,0
9/2/2015,Disappointment Cleaver,12,0
9/2/2015,Disappointment Cleaver,12,0
9/1/2015,Disappointment Cleaver,12,0
9/1/2015,Disappointment Cleaver,10,0
9/1/2015,Disappointment Cleaver,12,0
9/1/2015,Disappointment Cleaver,12,0
8/31/2015,Disappointment Cleaver,12,0
8/31/2015,Disappointment Cleaver,12,0
8/31/2015,Disappointment Cleaver,12,0
8/30/2015,Disappointment Cleaver,12,0
8/30/2015,Disappointment Cleaver,12,0
8/30/2015,Disappointment Cleaver,12,0
8/29/2015,Disappointment Cleaver,12,0
8/29/2015,Disappointment Cleaver,11,0
8/28/2015,Disappointment Cleaver,11,0
8/28/2015,Disappointment Cleaver,11,0
8/28/2015,Disappointment Cleaver,3,0
8/27/2015,Disappointment Cleaver,12,0
8/27/2015,Disappointment Cleaver,12,0
8/27/2015,Disappointment Cleaver,10,0
8/26/2015,Disappointment Cleaver,12,7
8/26/2015,Disappointment Cleaver,3,3
8/26/2015,Disappointment Cleaver,2,2
8/26/2015,Disappointment Cleaver,6,6
8/26/2015,Disappointment Cleaver,9,3
8/26/2015,Disappointment Cleaver,9,5
8/26/2015,Disappointment Cleaver,12,0
8/26/2015,Emmons-Winthrop,2,1
8/26/2015,Disappointment Cleaver,3,4
8/26/2015,Disappointment Cleaver,2,2
